,solver,instance,vertices,edges,propagating_vertices,omega,variables,constraints,run,lower_bound,upper_bound,gap,result,nodes,t_solver,callbacks,t_callback,lazy_constraints
3555,efpss-inp,../inputs/case1354pegase.graphml,1354,1710,422,4,3689,2313,3,340.0,340,0.0,Optimal,1772,1199777,39,17429,634
3556,efpss-outp-init,../inputs/case145.graphml,145,422,71,4,1118,1216,4,23.0,23,0.0,Optimal,2891,621799,18,1518,13
3557,efpss-inp-outp,../inputs/case13659pegase.graphml,13659,18625,4024,17,28231,25583,2,2740.0,2740,0.0,Optimal,37,2626750,18,36666,103
3558,efpss-outp-init,../inputs/case2848rte.graphml,2848,3442,1023,7,6927,10393,1,587.0,587,0.0,Optimal,1,497072,11,5541,1
3559,efpss-inp-outp,../inputs/case11_iwamoto.graphml,11,11,6,3,30,29,1,2.0,2,0.0,Optimal,1,696,2,11,0
3560,efpss-inp,../inputs/case3375wp.graphml,3374,4068,889,3,8436,5649,0,851.0,851,0.0,Optimal,23846,49481500,83,80767,1919
3561,efpss-outp-init,../inputs/case11_iwamoto.graphml,11,11,6,2,36,39,3,2.0,2,0.0,Optimal,1,1068,3,20,0
3562,efpss-outp-init,../inputs/case_iceland118.graphml,189,203,110,6,501,744,2,39.0,39,0.0,Optimal,1,8477,3,98,0
3563,efpss-inp-outp,../inputs/case_iceland118.graphml,189,203,110,4,546,468,3,41.0,41,0.0,Optimal,1,13449,5,274,2
3564,efpss-inp-outp,../inputs/case89pegase.graphml,89,206,43,8,422,222,0,13.0,13,0.0,Optimal,1,10056,3,133,1
3565,efpss-outp,../inputs/case2869pegase.graphml,2869,3968,869,11,5606,3754,4,612.0,612,0.0,Optimal,1,187019,8,4219,32
3566,efpss-inp,../inputs/case9241pegase.graphml,9241,14207,2902,22,18177,14113,3,2010.0,2010,0.0,Optimal,1667,6740414,29,66214,1875
3567,efpss-inp,../inputs/case6495rte.graphml,6495,8084,2344,15,13901,10897,0,1314.0,1314,0.0,Optimal,2094,4385347,19,41886,2302
3568,efpss-inp-outp,../inputs/case1951rte.graphml,1951,2375,651,14,4117,3916,0,393.0,393,0.0,Optimal,1,130078,18,4581,17
3569,efpss-outp,../inputs/case6ww.graphml,6,11,1,4,19,9,3,1.0,1,0.0,Optimal,1,671,2,8,0
3570,efpss-inp-outp,../inputs/case300.graphml,300,409,66,7,542,508,1,73.0,73,0.0,Optimal,1,10871,6,396,4
